published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,1532,1711,1532,1665,3.29,31215,51621623.5,A
2026-08-10,1650,1660,1565,1584,-4.86,37178,59447537.7,A
2026-08-11,1577,1600.4,1525,1529.9,-3.42,33957,52447219.4,A
2026-08-12,1530,1600,1485.3,1575,2.95,29731,45474867.6,A
2026-08-13,1530,1575,1523.1,1559.9,-0.96,14370,22236951.5,A
2026-08-14,1520,1570,1520,1534.1,-1.65,11310,17434161.1,A
2026-08-17,1510,1555,1490,1510,-1.57,25444,38555780.4,A
2026-08-18,1510,1515,1465,1470,-2.65,18483,27369226.2,A
2026-08-19,1397,1470,1397,1436,-2.31,11764,16932389.7,A
2026-08-20,1400,1490,1400,1452,1.11,12723,18324198,A
