published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,525,530,515.7,518,-1.45,50921,26565866.8,A
2026-08-10,510,528,510,527.8,1.89,45869,23854279.8,A
2026-08-11,527,538.59,520,523.4,-0.83,83559,43959943.9,A
2026-08-12,498,534,498,519,-0.84,55196,28591528.3,A
2026-08-13,520,525,512.5,516,-0.58,57776,29913442.9,A
2026-08-14,516,525,515.1,518.2,0.43,40393,20997110.9,A
2026-08-17,518.2,544,515.3,537.6,3.74,160716,85697527,A
2026-08-18,537.6,557,530,532,-1.04,156945,85678058.3,A
2026-08-19,530,547,530,538.9,1.3,75638,40681590.3,A
2026-08-20,537,538,528.1,534,-0.91,58434,31086294.1,A
2026-08-21,534,541.9,521.3,522,-2.25,70674,37545370.6,A
2026-08-24,518,525,506.9,511,-2.11,88635,45631273.3,A
2026-08-25,511,517,505.1,511.8,0.16,58020,29502601.9,A
2026-08-26,506,510,491.5,492,-3.87,71460,35793112.3,A
2026-08-27,485,510,480.1,493.8,0.37,62868,30983070.2,A
2026-08-31,494,494,467,471.2,-4.58,60004,28804918.9,A
2026-09-01,470,487.1,465.8,481,2.08,44897,21499166.1,A
