published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-07,1040,1040,1040,1040,0,25,26000,A
2026-08-10,1025,1025,1025,1055.7,1.51,104,106722.8,A
2026-08-12,1050,1068.8,1050,1068.1,1.17,531,566535.5,A
2026-08-14,1060,1087.3,1060,1070,0.18,1507,1630750.8,A
2026-08-19,1087.3,1087.3,1087.3,1087.3,1.62,100,108730,A
2026-08-20,1087.3,1087.3,1087.3,1087.3,0,25,27182.5,A
2026-08-24,1056,1085,1056,1085,-0.21,40,42530,A
2026-08-25,1053,1053,1030,1030,-5.07,525,552250,A
2026-08-26,1060.9,1087.9,1060.9,1087.9,5.62,32,34543,A
2026-08-27,1060,1060,1058,1058,-2.75,100,105900,A
2026-08-31,1050,1100,1050,1100,3.97,5558,6061068.5,A
2026-09-01,1095,1095,1095,1095,-0.45,25,27375,A
2026-09-02,1095,1095,1070,1070,-2.28,47,50840,A
2026-09-07,1097,1100,1097,1100,2.8,888,975276,A
2026-09-09,1100,1100,1068,1068,-2.91,150,163407.5,A
2026-09-10,1098,1100,1098,1100,3,350,384697.5,A
2026-09-11,1105,1105,1105,1105,0.45,19,20995,A
